stop_id,stop-name,stop_lat,stop_lon,pickup_type,lines,direction,group_id
1A,Autobusová stanica,49.059251,20.292955,1,"1, 5, 7, 8","Smer Stráže, Nový a Starý Juh",101
1B,Autobusová stanica,49.05925,20.29255,1,"2, 3, 4, 7","Smer Západ, Spišská Sobota a Matejovce",101
1C,Autobusová stanica,49.05924,20.29228,0,"1, 2, 3, 5, 7, 8",-,101
2A,Hviezdoslavova,49.057775,20.2961,1,"1, 3, 5, 7, 8",-,102
2B,Hviezdoslavova,49.05803,20.29712,1,"1, 3, 5, 7, 8",-,102
3A,Okresný úrad,49.057195,20.300425,1,"1, 3, 5, 7, 8",-,103
3B,Okresný úrad,49.05742,20.300375,1,"1, 3, 5, 7, 8",-,103
4A,Dom kultúry,49.05486,20.295227,1,"1, 3, 4, 5, 6, 7, 8",-,104
4B,Dom kultúry,49.054925,20.29639,1,"1, 3, 4, 5, 6, 7, 8",-,104
5A,Bajkalská,49.04948,20.294325,1,"1",-,105
5B,Bajkalská,49.049,20.29429838,1,"1",-,105
6A,Uherova,49.04429075,20.2884,1,"1, 4, 5, 6, 8, 9",-,106
6B,Uherova,49.04423,20.2886,1,"5, 7",-,106
7,Rastislavova,49.042665,20.281141,1,"1, 4, 5, 6, 8, 9",-,107
8,Šoltésovej,49.045329,20.279625,1,"1, 4, 5, 6, 8, 9",-,108
9,Zimná,49.04753,20.284577,1,"1, 4, 5, 6, 8, 9",-,109
10,Cirkevná škola,49.047775,20.288575,1,"1, 4, 5, 6, 8, 9",-,110
11A,Šafárikova,49.068615,20.28451,1,"2, 3, 4",-,111
11B,Šafárikova,49.068685,20.284125,1,"2, 3, 4",-,111
12A,Jahodná,49.06675,20.29079,1,"2, 3, 4",-,112
12B,Jahodná,49.065655,20.2922525,1,"2, 3, 4",-,113
13,Sokolovská,49.0631,20.29842,1,"2, 3, 4",-,114
14A,Uralská,49.06295,20.3017,1,"2, 3, 4",-,115
14B,Uralská,49.0631,20.3019,1,"2, 4",-,115
15A,Mláky,49.063,20.31328,1,"2, 3, 4",-,116
15B,Mláky,49.062775,20.31314,1,"2, 4",-,116
16A,Tatravagónka,49.0617652006914,20.3152120113373,1,"2, 4",-,117
16B,Tatravagónka,49.06107,20.31315,1,"3",-,118
17,Ružový sad,49.064555,20.31955,1,"2, 3, 4",-,119
18A,"Spišská Sobota, ZŠ",49.065175,20.3094,1,"2, 3, 5",-,120
18B,"Spišská Sobota, ZŠ",49.0649,20.30918,1,"2, 3",-,120
19A,Jesenského,49.066987,20.3135,1,"2",-,121
19B,Jesenského,49.0667,20.31325,1,"2, 3",-,121
20A,Sobotské námestie,49.06605055,20.315325,1,"2",-,122
20B,Sobotské námestie,49.06605,20.3158,1,"2, 3",-,122
21A,Matejovská,49.0671605,20.32155,1,"2, 3",-,123
21B,Matejovská,49.06707,20.32078,1,"2",-,123
22,"Spišská Sobota, čerpacia stanica",49.0677245401815,20.3234893083572,1,"2, 4",-,124
23A,Beko,49.074183,20.32636,1,"2, 4, 9",-,125
23B,Beko,49.0750565,20.32636,1,"2, 4, 9",-,125
24,Priemyselná,49.07472,20.32,1,"2, 4, 9",-,126
25A,Tatramat,49.078142,20.32744,1,"2, 4, 9",-,127
25B,Tatramat,49.07593,20.32695,1,"2, 4, 9",-,128
26,Lidická,49.08185,20.32817,1,"2, 4, 9",-,129
27,Matejovské námestie,49.081233,20.322155,1,"2, 4, 9",-,130
28,Allendeho,49.080023,20.32414,1,"2, 4, 9",-,131
29,Zámoček,49.08025,20.32735,1,"2, 4, 9",-,132
30A,"Tesco, hypermarket",49.058369587,20.26613,1,"3, 6",-,133
31A,Partizánska,49.0586,20.2768,1,"3",-,134
31B,Partizánska,49.0588,20.2739,1,"3, 6",-,135
32A,Štúrova,49.0572649,20.28315,1,"3, 6",-,136
32B,Štúrova,49.05725,20.28205,1,"3, 6",-,136
33A,Podtatranská,49.0565,20.286,1,"3, 6",-,137
33B,Podtatranská,49.0562325,20.28815,1,"3, 6",-,138
34A,Železničná,49.062813,20.2854,1,"3",-,139
34B,Železničná,49.06259,20.285825,1,"3",-,139
35A,Široká,49.0631,20.27881,1,"3",-,140
35B,Široká,49.06295,20.27881,1,"3",-,140
36A,Teplická,49.063901,20.27479555,1,"3",-,141
36B,Teplická,49.06374,20.275035,1,"3",-,141
37A,Šarišská,49.066,20.2773,1,"3, 6",-,142
37B,Šarišská,49.0661,20.277125,1,"3, 6",-,142
38A,Velické námestie,49.068,20.2792,1,"3, 6",-,143
38B,Velické námestie,49.068225,20.27941,1,"3, 6",-,143
39,"Veľká, cintorín",49.071257,20.279033,1,"3, 6",-,144
40,Slobody,49.06443,20.29922,1,"3",-,145
41,Košická,49.065021,20.302581,1,"3",-,146
42A,"Kukučínová, gymnázium",49.05795,20.310635,1,"3, 5",-,147
42B,"Kukučínová, gymnázium",49.057725,20.31065,1,"3",-,147
43A,Skladová,49.05565,20.32045,1,"3, 5",-,148
43B,Skladová,49.0558,20.32073,1,"3, 5",-,148
44,Strážske námestie,49.056945,20.325675,1,"3, 5",-,149
45A,Námestie svätého Cyrila a Metóda,49.04575,20.296552,1,"4, 5, 6, 7, 8, 9",-,150
45B,Námestie svätého Cyrila a Metóda,49.045733,20.297,1,"4, 5, 6, 7, 8, 9",-,150
46A,Tajovského,49.04471,20.3027,1,"4, 5, 6, 7, 8, 9",-,151
46B,Tajovského,49.04444,20.30105,1,"4, 5, 6, 7, 8, 9",-,152
47A,Tomášikova,49.047813,20.30569,1,"4, 5, 6, 7, 8, 9",-,153
47B,Tomášikova,49.047669,20.305501,1,"4, 5, 6, 7, 8, 9",-,153
48A,Nemocnica,49.05145,20.30495,1,"4, 5, 6, 7, 8",-,154
48B,Nemocnica,49.05215,20.304925,1,"4, 5, 6, 7, 8",-,154
49,SOŠ remesiel,49.0541722024865,20.3098207712173,1,"4, 5, 6",-,155
50,"Okružná, podchod",49.0581797627483,20.3076776862144+,1,"4, 5, 6",-,156
51A,Štefánikova,49.0569,20.30375,1,"4, 5, 6",-,157
51B,Štefánikova,49.056975,20.3029,1,"4, 5, 6",-,157
52,Levočská,49.0547,20.309095+,1,"4, 5, 6",-,158
53,Dostojevského,49.050371,20.29922,1,"5, 9",-,159
54,Juh-nemocnica,49.050092,20.30448,1,"5, 9",-,160
55,Obchodná akadémia,49.05081,20.297315,1,"5, 9",-,161
56A,Hraničná,49.059675,20.2804875,1,"7",-,162
56B,Hraničná,49.05974,20.28104,0,"7",-,162
57A,Kovošrot,49.05935,20.28527,1,"7",-,163
57B,Kovošrot,49.05929,20.28485,1,"7",-,163
58A,NC Forum,49.053,20.29825,1,"7, 8",-,164
58B,NC Forum,49.05305,20.29923,1,"7, 8",-,164
59,Tatranské námestie,49.0535,20.304,1,"7, 8",-,165
60A,"Moyzesova, OC",49.044066,20.2922,1,"7, 5",-,167
60B,"Moyzesova, OC",49.043601,20.29178,1,"7, 5, 8",-,167
61A,"Rožňavská cesta, OC",49.0474588151965,20.2921,1,"5",-,168
61B,"Rožňavská cesta, OC",49.047425,20.29261,1,"5",-,168